run_date,code,name,close,market_cap_억원,stock_return_pct,kospi_return_pct,rs_index,ma20,ma20_gap_pct,volatility_contraction,price_change_5d_pct,ma120,avg_volume_50,avg_volume_10,volume_change_pct,industry,core_theme,etf_trend_good,etf_names,etf_details,source_url
2026-08-10,138040,메리츠금융지주,123500,194290,-5.87,17.65,80.01,119560.00,3.30,X,+2.66,114430.83,319987,289082,-9.66,증권,밸류업(24년 기업가치 제고계획 발표) / 지주사 / 밸류업(25년 기업가치 제고계획 발표),통과,TIME Korea플러스배당액티브 / RISE V&S셀렉트밸류,"TIME Korea플러스배당액티브 (비중 4.17%, 20일선 -4.34%) / RISE V&S셀렉트밸류 (비중 5.11%, 20일선 +1.09%)",https://finance.naver.com/item/main.naver?code=138040
2026-08-11,009150,삼성전기,1.262e+06,1167462,294.99,14.91,343.75,1245400.00,1.33,X,+6.50,1078795.83,1111305,976623,-12.12,전자장비와기기,S7(삼성전자/SK하이닉스 등) / 자율주행차 / 카메라모듈/부품,통과,KODEX 200 / TIGER 200 / KODEX 200TR,"KODEX 200 (비중 2.32%, 20일선 -3.67%) / TIGER 200 (비중 2.33%, 20일선 -3.69%) / KODEX 200TR (비중 2.31%, 20일선 -3.76%)",https://finance.naver.com/item/main.naver?code=009150
2026-08-11,034730,SK,524000,424865,52.99,14.91,133.14,558525.00,-6.18,O,+1.16,503058.33,284024,216042,-23.94,석유와가스,LNG(액화천연가스) / 냉각시스템(액침냉각 등) / SI(시스템통합),통과,TIGER 지주회사 / TIGER 200 에너지화학 / HK 베스트일레븐액티브,"TIGER 지주회사 (비중 11.95%, 20일선 +4.71%) / TIGER 200 에너지화학 (비중 22.05%, 20일선 +5.38%) / HK 베스트일레븐액티브 (비중 7.39%, 20일선 -1.95%)",https://finance.naver.com/item/main.naver?code=034730
2026-08-11,066570,LG전자,181700,346944,49.67,14.91,130.25,173215.00,4.90,X,+9.79,168820.00,2211023,1217313,-44.94,전자제품,피지컬 AI/휴머노이드 로봇 / IT 대표주 / 제습기,통과,KODEX 로봇액티브 / TIGER LG그룹플러스 / FOCUS AI코리아액티브,"KODEX 로봇액티브 (비중 7.50%, 20일선 +6.78%) / TIGER LG그룹플러스 (비중 13.84%, 20일선 +7.62%) / FOCUS AI코리아액티브 (비중 5.95%, 20일선 -0.83%)",https://finance.naver.com/item/main.naver?code=066570
2026-08-11,161890,한국콜마,107900,32126,49.03,14.91,129.70,101910.00,5.88,X,+6.52,87752.50,315602,262865,-16.71,화장품,화장품,통과,TIGER 중국소비테마 / TIGER KEDI혁신기업ESG30 / KODEX 200동일가중,"TIGER 중국소비테마 (비중 6.68%, 20일선 +6.27%) / TIGER KEDI혁신기업ESG30 (비중 5.63%, 20일선 +5.06%) / KODEX 200동일가중 (비중 0.81%, 20일선 +5.82%)",https://finance.naver.com/item/main.naver?code=161890
2026-08-11,028050,삼성E&A,48950,97608,44.82,14.91,126.03,44625.00,9.69,X,+2.51,44895.00,2335639,2065505,-11.57,건설,전후 재건(우크라/중동 전쟁 등) / 수자원(양적/질적 개선),통과,KODEX 삼성그룹밸류 / TIGER 200 건설 / TIGER 모멘텀,"KODEX 삼성그룹밸류 (비중 8.20%, 20일선 +1.55%) / TIGER 200 건설 (비중 23.92%, 20일선 +8.56%) / TIGER 모멘텀 (비중 3.81%, 20일선 +2.96%)",https://finance.naver.com/item/main.naver?code=028050
2026-08-11,483650,달바글로벌,246000,28486,42.69,14.91,124.18,233540.00,5.34,X,+2.71,199170.83,183421,199039,+8.52,화장품,미용기기 / 화장품,미통과,,,https://finance.naver.com/item/main.naver?code=483650
2026-08-11,078930,GS,97500,108780,38.89,14.91,120.87,89505.00,8.93,X,+0.62,74580.00,419522,545553,+30.04,석유와가스,정유 / 윤활유 / LPG(액화석유가스),통과,PLUS 고배당주 / PLUS 고배당주위클리커버드콜 / ACE 라이프자산주주가치액티브,"PLUS 고배당주 (비중 5.17%, 20일선 +1.30%) / PLUS 고배당주위클리커버드콜 (비중 4.77%, 20일선 +2.42%) / ACE 라이프자산주주가치액티브 (비중 3.94%, 20일선 +1.77%)",https://finance.naver.com/item/main.naver?code=078930
2026-08-11,278470,에이피알,385500,146008,36.70,14.91,118.97,360300.00,6.99,X,+7.23,369770.83,288580,367836,+27.46,화장품,패션/의류 / 미용기기 / 화장품,통과,KODEX 필수소비재 / KODEX 모멘텀Plus / RISE 내수주플러스,"KODEX 필수소비재 (비중 17.62%, 20일선 +6.24%) / KODEX 모멘텀Plus (비중 4.11%, 20일선 +2.61%) / RISE 내수주플러스 (비중 5.96%, 20일선 +4.02%)",https://finance.naver.com/item/main.naver?code=278470
2026-08-11,010950,S-Oil,141600,167635,31.11,14.91,114.10,135555.00,4.46,X,+12.56,117941.67,434645,403336,-7.20,석유와가스,정유 / 윤활유 / LPG(액화석유가스),통과,에셋플러스 코리아대장장이액티브 / KODEX 에너지화학 / TIGER 200 에너지화학,"에셋플러스 코리아대장장이액티브 (비중 4.94%, 20일선 +4.22%) / KODEX 에너지화학 (비중 8.49%, 20일선 +9.44%) / TIGER 200 에너지화학 (비중 6.62%, 20일선 +5.38%)",https://finance.naver.com/item/main.naver?code=010950
